Code,Name,FK_Month
19460129,1945-1946 January 29                 ,1945194607
19460130,1945-1946 January 30                 ,1945194607
19460131,1945-1946 January 31                 ,1945194607
19460201,1945-1946 February 01                ,1945194608
19460202,1945-1946 February 02                ,1945194608
19460203,1945-1946 February 03                ,1945194608
19460204,1945-1946 February 04                ,1945194608
19460205,1945-1946 February 05                ,1945194608
19460206,1945-1946 February 06                ,1945194608
19460207,1945-1946 February 07                ,1945194608
19460208,1945-1946 February 08                ,1945194608
19460209,1945-1946 February 09                ,1945194608
19460210,1945-1946 February 10                ,1945194608
19460211,1945-1946 February 11                ,1945194608
19460212,1945-1946 February 12                ,1945194608
19460213,1945-1946 February 13                ,1945194608
19460214,1945-1946 February 14                ,1945194608
19460215,1945-1946 February 15                ,1945194608
19460216,1945-1946 February 16                ,1945194608
19460217,1945-1946 February 17                ,1945194608
19460218,1945-1946 February 18                ,1945194608
19460219,1945-1946 February 19                ,1945194608
19460220,1945-1946 February 20                ,1945194608
19460221,1945-1946 February 21                ,1945194608
19460222,1945-1946 February 22                ,1945194608
19460223,1945-1946 February 23                ,1945194608
19460224,1945-1946 February 24                ,1945194608
19460225,1945-1946 February 25                ,1945194608
19460226,1945-1946 February 26                ,1945194608
19460227,1945-1946 February 27                ,1945194608
19460228,1945-1946 February 28                ,1945194608
19460301,1945-1946 March 01                   ,1945194609
19460302,1945-1946 March 02                   ,1945194609
19460303,1945-1946 March 03                   ,1945194609
19460304,1945-1946 March 04                   ,1945194609
19460305,1945-1946 March 05                   ,1945194609
19460306,1945-1946 March 06                   ,1945194609
19460307,1945-1946 March 07                   ,1945194609
19460308,1945-1946 March 08                   ,1945194609
19460309,1945-1946 March 09                   ,1945194609
19460310,1945-1946 March 10                   ,1945194609
19460311,1945-1946 March 11                   ,1945194609
19460312,1945-1946 March 12                   ,1945194609
19460313,1945-1946 March 13                   ,1945194609
19460314,1945-1946 March 14                   ,1945194609
19460315,1945-1946 March 15                   ,1945194609
19460316,1945-1946 March 16                   ,1945194609
19460317,1945-1946 March 17                   ,1945194609
19460318,1945-1946 March 18                   ,1945194609
19460319,1945-1946 March 19                   ,1945194609
19460320,1945-1946 March 20                   ,1945194609
19460321,1945-1946 March 21                   ,1945194609
